Image,Emotion Value
000030,0.0
000060,0.0
000090,0.0
000120,0.0
000150,-0.9558463096618652
000180,-0.9558463096618652
000210,-2.638578414916992
000240,-3.533749580383301
000270,-3.533749580383301
000300,-3.533749580383301
000330,-3.533749580383301
000360,-3.533749580383301
000390,-3.533749580383301
000420,-3.533749580383301
000450,-3.1099963188171387
000480,-5.331630706787109
000510,-6.131472587585449
000540,-6.131472587585449
000570,-6.238231658935547
000600,-6.238231658935547
000630,-6.238231658935547
000660,-7.003419399261475
000690,-7.003419399261475
000720,-7.003419399261475
000750,-7.003419399261475
000780,-7.003419399261475
000810,-7.003419399261475
000840,-7.787210941314697
000870,-10.764062404632568
000900,-10.764062404632568
000930,-10.764062404632568
000960,-10.764062404632568
000990,-10.764062404632568
001020,-10.764062404632568
001050,-10.764062404632568
001080,-10.764062404632568
